kernel,label,m,rep,eps_m,I_star,regret_robust,regret_plugin_greedy,regret_plugin_exhaustive,diff_robust_minus_plugin,robust_wins,tie,same_protocol
trait_ou,mean,25,15,0.18289232297869373,0.6907252995047104,0.0034570449424917715,0.009357104428705854,0.009357104428705854,-0.005900059486214082,1,0,0
trait_ou,mean,25,16,0.2400500664617899,0.6907252995047104,0.08310965942559934,0.0034570449424917715,0.021152268599341162,0.07965261448310756,0,0,0
trait_ou,mean,25,17,0.16495611641025193,0.6907252995047104,0.0475267026962225,0.01482039542407887,0.01482039542407887,0.03270630727214363,0,0,0
trait_ou,mean,25,18,0.26825571693480404,0.6907252995047104,0.045349645013362805,0.045349645013362805,0.045349645013362805,0.0,0,1,1
trait_ou,mean,25,19,0.24596858358696527,0.6907252995047104,0.017857376384350587,0.0,0.0,0.017857376384350587,0,0,0
trait_ou,mean,25,20,0.20851965360958802,0.6907252995047104,0.05327713644841725,0.01482039542407887,0.01482039542407887,0.03845674102433838,0,0,0
trait_ou,mean,25,21,0.20082907256859517,0.6907252995047104,0.029712916654782373,0.031157011141005775,0.007793963469837295,-0.0014440944862234018,1,0,0
trait_ou,mean,25,22,0.15312559328523845,0.6907252995047104,0.03595690901246129,0.03207288593565005,0.006713285763997989,0.0038840230768112383,0,0,0
trait_ou,mean,25,23,0.23364464123887901,0.6907252995047104,0.05327713644841725,0.05327713644841725,0.05327713644841725,0.0,0,1,1
trait_ou,mean,25,24,0.19335092503913925,0.6907252995047104,0.024642788836211516,0.024642788836211516,0.0034570449424917715,0.0,0,1,1
trait_ou,mean,25,25,0.2067406788791213,0.6907252995047104,0.0523526226783142,0.03612009374101599,0.03612009374101599,0.016232528937298207,0,0,0
trait_ou,mean,25,26,0.15048465209407846,0.6907252995047104,0.0,0.02327881424052236,0.04496036835571127,-0.02327881424052236,1,0,0
trait_ou,mean,25,27,0.14184350579291233,0.6907252995047104,0.022929268809470882,0.024642788836211516,0.024642788836211516,-0.0017135200267406336,1,0,0
trait_ou,mean,25,28,0.18222162774744322,0.6907252995047104,0.046681276841894825,0.02916030775861367,0.02916030775861367,0.017520969083281157,0,0,0
trait_ou,mean,25,29,0.38023787042610074,0.6907252995047104,0.030062967345549252,0.006429936994737484,0.03183563220872199,0.023633030350811768,0,0,0
trait_ou,mean,25,30,0.20111973455462778,0.6907252995047104,0.11784976893123511,0.03507679817218834,0.04896170780757403,0.08277297075904677,0,0,0
trait_ou,mean,25,31,0.1904349717873136,0.6907252995047104,0.007150820228128185,0.022929268809470882,0.022929268809470882,-0.015778448581342697,1,0,0
trait_ou,mean,25,32,0.1941968261397103,0.6907252995047104,0.0034570449424916605,0.03216825154893699,0.03216825154893699,-0.028711206606445328,1,0,0
trait_ou,mean,25,33,0.162918619551515,0.6907252995047104,0.07853290511407085,0.04518272505979848,0.04518272505979848,0.03335018005427237,0,0,0
trait_ou,mean,25,34,0.1826728551103442,0.6907252995047104,0.006713285763997989,0.007793963469837295,0.006713285763997989,-0.0010806777058393058,1,0,0
trait_ou,mean,25,35,0.24464993738384916,0.6907252995047104,0.035523068784319656,0.028557641561249403,0.028557641561249403,0.006965427223070253,0,0,0
trait_ou,mean,25,36,0.20758451685442647,0.6907252995047104,0.0,0.0,0.017857376384350587,0.0,0,1,1
trait_ou,mean,25,37,0.14562130954521169,0.6907252995047104,0.028863495404557682,0.07943037476698289,0.028863495404557682,-0.05056687936242521,1,0,0
trait_ou,mean,25,38,0.342450266747057,0.6907252995047104,0.02688889462248134,0.021152268599341162,0.021152268599341162,0.005736626023140179,0,0,0
trait_ou,mean,25,39,0.31750321729511094,0.6907252995047104,6.460355991932953e-05,0.05492017276326322,0.07279246439213971,-0.05485556920334389,1,0,0
trait_ou,mean,25,40,0.24695954543650694,0.6907252995047104,0.06689706607388268,0.029328021304008245,0.029328021304008245,0.03756904476987444,0,0,0
trait_ou,mean,25,41,0.1661091507455218,0.6907252995047104,0.02327881424052236,0.02400045222498537,0.02807701999074841,-0.0007216379844630083,1,0,0
trait_ou,mean,25,42,0.16828202506541917,0.6907252995047104,0.05327713644841725,0.031157011141005775,0.031157011141005775,0.022120125307411476,0,0,0
trait_ou,mean,25,43,0.21010001130582895,0.6907252995047104,0.0468046965011083,0.06217485786093424,0.02518490160958986,-0.01537016135982594,1,0,0
trait_ou,mean,25,44,0.20721178601616297,0.6907252995047104,0.07520775996134443,0.0034570449424916605,0.0192301355874116,0.07175071501885277,0,0,0
trait_ou,mean,25,45,0.246482421121336,0.6907252995047104,0.044321805609825016,0.0034570449424916605,0.0034570449424916605,0.040864760667333355,0,0,0
trait_ou,mean,25,46,0.33213181720750773,0.6907252995047104,0.05480638949711736,0.09820307155685248,0.006429936994737262,-0.043396682059735125,1,0,0
trait_ou,mean,25,47,0.12595064308345694,0.6907252995047104,0.051178098372722136,0.006429936994737484,0.009357104428705854,0.04474816137798465,0,0,0
trait_ou,mean,25,48,0.15535602429597573,0.6907252995047104,0.06419414910454313,0.04496036835571138,0.04496036835571138,0.019233780748831752,0,0,0
trait_ou,mean,25,49,0.21584045687668169,0.6907252995047104,0.049027588523831156,0.049027588523831156,0.03216825154893699,0.0,0,1,1
trait_ou,mean,25,50,0.18575766923042158,0.6907252995047104,0.032072885935650164,6.460355991932953e-05,6.460355991932953e-05,0.032008282375730834,0,0,0
trait_ou,mean,25,51,0.4137968115388542,0.6907252995047104,0.10696082485403413,0.0,0.14255513593033764,0.10696082485403413,0,0,0
trait_ou,mean,25,52,0.15210901563586599,0.6907252995047104,0.06764029529225035,0.0067132857639981,0.007793963469837295,0.06092700952825225,0,0,0
trait_ou,mean,25,53,0.17893356729749543,0.6907252995047104,0.05327713644841725,0.05327713644841725,0.02518490160958986,0.0,0,1,1
trait_ou,mean,25,54,0.2519139651407596,0.6907252995047104,0.0816157628720835,0.007150820228128185,0.007150820228128185,0.07446494264395531,0,0,0
trait_ou,mean,25,55,0.1411155301157706,0.6907252995047104,0.041551539705605545,0.013183901743084814,0.013183901743084814,0.02836763796252073,0,0,0
trait_ou,mean,25,56,0.27216865676336766,0.6907252995047104,0.051353896104069485,0.04878444880300681,0.04878444880300681,0.0025694473010626773,0,0,0
trait_ou,mean,25,57,0.1721686252638442,0.6907252995047104,0.05118392377335956,0.014335910833008558,0.014335910833008558,0.036848012940351005,0,0,0
trait_ou,mean,25,58,0.19921922196326558,0.6907252995047104,0.017857376384350587,0.041496443613811884,0.041496443613811884,-0.023639067229461297,1,0,0
trait_ou,mean,25,59,0.24621556670130224,0.6907252995047104,0.0034570449424917715,0.021152268599341162,0.021152268599341162,-0.01769522365684939,1,0,0
trait_ou,mean,25,60,0.16990254210669087,0.6907252995047104,0.04064277397617144,0.028863495404557682,0.028863495404557682,0.01177927857161376,0,0,0
trait_ou,mean,25,61,0.12000684318924726,0.6907252995047104,0.0739844877787581,6.460355991932953e-05,0.01673717695478616,0.07391988421883877,0,0,0
trait_ou,mean,25,62,0.156046457592594,0.6907252995047104,0.0523526226783142,0.059583266313413374,0.0692429099210361,-0.0072306436350991765,1,0,0
trait_ou,mean,25,63,0.1828942783098279,0.6907252995047104,0.029712916654782373,0.02518490160958986,0.006429936994737262,0.004528015045192513,0,0,0
